SupplierCode,CustomerCode,ConnectionType,CustomerRefId
ORG0187,THRE0003,1,300674
ORG0188,THRE0003,1,300675
ORG0189,THRE0003,1,300676
ORG0190,THRE0003,1,300677
ORG0191,THRE0003,1,300678
ORG0192,THRE0003,1,300684
ORG0193,THRE0003,1,300689
ORG0194,THRE0003,1,300694
ORG0195,THRE0003,1,300695
ORG0196,THRE0003,1,300699
ORG0197,THRE0003,1,300700
ORG0198,THRE0003,1,300701
ORG0199,THRE0003,1,300704
ORG0200,THRE0003,1,300705
ORG0201,THRE0003,1,300710
ORG0202,THRE0003,1,300711
ORG0203,THRE0003,1,300714
ORG0204,THRE0003,1,300715
ORG0205,THRE0003,1,300716
ORG0206,THRE0003,1,300719
ORG0207,THRE0003,1,300720
ORG0208,THRE0003,1,300721
ORG0209,THRE0003,1,300722
ORG0210,THRE0003,1,300723
ORG0211,THRE0003,1,300724
ORG0212,THRE0003,1,300725
ORG0213,THRE0003,1,300726
ORG0214,THRE0003,1,300727
ORG0215,THRE0003,1,300728
ORG0216,THRE0003,1,300852
ORG0217,THRE0003,1,300853
ORG0218,THRE0003,1,300855
ORG0219,THRE0003,1,300856
ORG0220,THRE0003,1,300857
ORG0221,THRE0003,1,300858
ORG0222,THRE0003,1,300859
ORG0223,THRE0003,1,300860
ORG0224,THRE0003,1,300861
ORG0225,THRE0003,1,300862
ORG0226,THRE0003,1,300864
ORG0227,THRE0003,1,300867
ORG0228,THRE0003,1,300870
ORG0229,THRE0003,1,300879
ORG0230,THRE0003,1,300881
ORG0231,THRE0003,1,300882
ORG0232,THRE0003,1,300883
ORG0233,THRE0003,1,300884
ORG0234,THRE0003,1,300886
ORG0235,THRE0003,1,300887
ORG0236,THRE0003,1,300888
ORG0237,THRE0003,1,300889
ORG0238,THRE0003,1,300890
ORG0239,THRE0003,1,300891
ORG0240,THRE0003,1,300893
ORG0241,THRE0003,1,300894
ORG0242,THRE0003,1,300895
ORG0243,THRE0003,1,300896
ORG0244,THRE0003,1,300897
ORG0245,THRE0003,1,300899
ORG0246,THRE0003,1,300900
ORG0247,THRE0003,1,300901
ORG0248,THRE0003,1,300902
ORG0249,THRE0003,1,300903
ORG0250,THRE0003,1,300904
ORG0251,THRE0003,1,300905
ORG0252,THRE0003,1,300906
ORG0253,THRE0003,1,300907
ORG0254,THRE0003,1,300909
ORG0255,THRE0003,1,300910
ORG0256,THRE0003,1,300911
ORG0257,THRE0003,1,300914
ORG0258,THRE0003,1,300915
ORG0259,THRE0003,1,300916
ORG0260,THRE0003,1,300919
ORG0261,THRE0003,1,300920
ORG0262,THRE0003,1,300921
ORG0263,THRE0003,1,300922
ORG0264,THRE0003,1,300923
ORG0265,THRE0003,1,300924
ORG0266,THRE0003,1,300925
ORG0267,THRE0003,1,300929
ORG0268,THRE0003,1,300930
ORG0269,THRE0003,1,300931
ORG0270,THRE0003,1,300932
ORG0271,THRE0003,1,300933
ORG0272,THRE0003,1,300934
ORG0273,THRE0003,1,300939
ORG0274,THRE0003,1,300944
ORG0275,THRE0003,1,300945
ORG0276,THRE0003,1,300946
ORG0277,THRE0003,1,300947
ORG0278,THRE0003,1,300948
ORG0279,THRE0003,1,300949
ORG0280,THRE0003,1,300950
ORG0281,THRE0003,1,300952
ORG0282,THRE0003,1,300953
ORG0283,THRE0003,1,300954
ORG0284,THRE0003,1,300955
ORG0285,THRE0003,1,300956
ORG0286,THRE0003,1,300957
ORG0287,THRE0003,1,300958
ORG0288,THRE0003,1,300959
ORG0289,THRE0003,1,300960
ORG0290,THRE0003,1,300961
ORG0291,THRE0003,1,300962
ORG0292,THRE0003,1,300963
ORG0293,THRE0003,1,300964
ORG0294,THRE0003,1,300969
ORG0295,THRE0003,1,300970
ORG0296,THRE0003,1,300971
ORG0297,THRE0003,1,300972
ORG0298,THRE0003,1,300973
ORG0299,THRE0003,1,300974
ORG0300,THRE0003,1,300975
ORG0301,THRE0003,1,300976
ORG0302,THRE0003,1,300977
ORG0303,THRE0003,1,300978
ORG0304,THRE0003,1,300979
ORG0305,THRE0003,1,300981
ORG0306,THRE0003,1,300982
ORG0307,THRE0003,1,300984
ORG0308,THRE0003,1,300985
ORG0309,THRE0003,1,300986
ORG0310,THRE0003,1,300989
ORG0311,THRE0003,1,300990
ORG0312,THRE0003,1,300991
ORG0313,THRE0003,1,300992
ORG0314,THRE0003,1,300993
ORG0315,THRE0003,1,300994
ORG0316,THRE0003,1,300995
ORG0317,THRE0003,1,300996
ORG0318,THRE0003,1,300997
ORG0319,THRE0003,1,300998
ORG0320,THRE0003,1,300999
ORG0321,THRE0003,1,301000
ORG0322,THRE0003,1,301001
ORG0323,THRE0003,1,301002
ORG0324,THRE0003,1,301003
ORG0325,THRE0003,1,301004
ORG0326,THRE0003,1,301005
ORG0327,THRE0003,1,301006
ORG0328,THRE0003,1,301007
ORG0329,THRE0003,1,301008
ORG0330,THRE0003,1,301009
ORG0331,THRE0003,1,301010
ORG0332,THRE0003,1,301011
ORG0333,THRE0003,1,301012
ORG0334,THRE0003,1,301013
ORG0335,THRE0003,1,301014
ORG0336,THRE0003,1,301015
ORG0337,THRE0003,1,301016
ORG0338,THRE0003,1,301017
ORG0339,THRE0003,1,301018
ORG0340,THRE0003,1,301019
ORG0341,THRE0003,1,301020
ORG0342,THRE0003,1,301021
ORG0343,THRE0003,1,301022
ORG0344,THRE0003,1,301023
ORG0345,THRE0003,1,301024
ORG0346,THRE0003,1,301025
ORG0347,THRE0003,1,301026
ORG0348,THRE0003,1,301027
ORG0349,THRE0003,1,301028
ORG0350,THRE0003,1,301029
ORG0351,THRE0003,1,301030
ORG0352,THRE0003,1,301031
ORG0353,THRE0003,1,301032
ORG0354,THRE0003,1,301033
ORG0355,THRE0003,1,301034
ORG0356,THRE0003,1,301035
ORG0357,THRE0003,1,301036
ORG0358,THRE0003,1,301037
ORG0359,THRE0003,1,301038
ORG0360,THRE0003,1,301039
ORG0361,THRE0003,1,301040
ORG0362,THRE0003,1,301041
ORG0363,THRE0003,1,301042
ORG0364,THRE0003,1,301044
ORG0365,THRE0003,1,301045
ORG0366,THRE0003,1,301046
ORG0367,THRE0003,1,301047
ORG0368,THRE0003,1,301048
ORG0369,THRE0003,1,301054
ORG0370,THRE0003,1,301055
ORG0371,THRE0003,1,301056
ORG0372,THRE0003,1,301057
ORG0373,THRE0003,1,301058
ORG0374,THRE0003,1,301059
ORG0375,THRE0003,1,301060
ORG0376,THRE0003,1,301064
ORG0377,THRE0003,1,301065
ORG0378,THRE0003,1,301066
ORG0379,THRE0003,1,301069
ORG0380,THRE0003,1,301070
ORG0381,THRE0003,1,301071
ORG0382,THRE0003,1,301072
ORG0383,THRE0003,1,301073
ORG0384,THRE0003,1,301074
ORG0385,THRE0003,1,301080
ORG0386,THRE0003,1,301081
ORG0387,THRE0003,1,301084
ORG0388,THRE0003,1,301085
ORG0389,THRE0003,1,301090
ORG0390,THRE0003,1,301094
ORG0391,THRE0003,1,301095
ORG0392,THRE0003,1,301096
ORG0393,THRE0003,1,301097
ORG0394,THRE0003,1,301098
ORG0395,THRE0003,1,301099
ORG0396,THRE0003,1,301100
ORG0397,THRE0003,1,301101
ORG0398,THRE0003,1,301102
ORG0399,THRE0003,1,301103
ORG0400,THRE0003,1,301105
ORG0401,THRE0003,1,301106
ORG0402,THRE0003,1,301107
ORG0403,THRE0003,1,301108
ORG0404,THRE0003,1,301109
ORG0405,THRE0003,1,301110
ORG0406,THRE0003,1,301111
ORG0407,THRE0003,1,301112
ORG0408,THRE0003,1,301113
ORG0409,THRE0003,1,301114
ORG0410,THRE0003,1,301115
ORG0411,THRE0003,1,301116
ORG0412,THRE0003,1,301117
ORG0413,THRE0003,1,301118
ORG0414,THRE0003,1,301119
ORG0415,THRE0003,1,301120
ORG0416,THRE0003,1,301121
ORG0417,THRE0003,1,301122
ORG0418,THRE0003,1,301123
ORG0419,THRE0003,1,301124
ORG0420,THRE0003,1,301125
ORG0421,THRE0003,1,301126
ORG0422,THRE0003,1,301127
ORG0423,THRE0003,1,301128
ORG0424,THRE0003,1,301129
ORG0425,THRE0003,1,301130
ORG0426,THRE0003,1,301131
ORG0427,THRE0003,1,301132
ORG0428,THRE0003,1,301133
ORG0429,THRE0003,1,301134
ORG0430,THRE0003,1,301135
ORG0431,THRE0003,1,301136
ORG0432,THRE0003,1,301138
ORG0433,THRE0003,1,301139
ORG0434,THRE0003,1,301140
ORG0435,THRE0003,1,301141
ORG0436,THRE0003,1,301142
ORG0437,THRE0003,1,301144
ORG0438,THRE0003,1,301149
ORG0439,THRE0003,1,301154
ORG0440,THRE0003,1,301155
ORG0441,THRE0003,1,301156
ORG0442,THRE0003,1,301157
ORG0443,THRE0003,1,301158
ORG0444,THRE0003,1,301159
ORG0445,THRE0003,1,301160
ORG0446,THRE0003,1,301161
ORG0447,THRE0003,1,301162
ORG0448,THRE0003,1,301163
ORG0449,THRE0003,1,301164
ORG0450,THRE0003,1,301165
ORG0451,THRE0003,1,301166
ORG0452,THRE0003,1,301169
