Name,ediSONPortCode,ModeOfTransport,CountryCode,LocationDescription,Enabled
TWKEL,KELTW,SEA,TW,KEELUNG,Y
TWKHH,KHHTW,SEA,TW,KAOHSIUNG,Y
TWTPE,TPETW,SEA,TW,TAIPEI,Y
TWTXG,TXGTW,SEA,TW,TAICHUNG,Y
TWTYN,TYNTW,SEA,TW,TAO YUAN,Y
TZDAR,DARTZ,SEA,TZ,DAR ES SALAAM,Y
UAILK,ILKUA,SEA,UA,CHORNOMORSK,Y
UAILY,ILYUA,SEA,UA,ILYICHEVSK,Y
UAODS,ODSUA,SEA,UA,"ODESSA,UA",Y
UAPIV,PIVUA,SEA,UA,PIVDENNYI,Y
UAYUZ,YUZUA,SEA,UA,YUZHNY,Y
USATL,ATLUS,SEA,US,"ATLANTA,GA,US",Y
USBAL,BALUS,SEA,US,"BALTIMORE,MD,US",Y
USBHM,BHMUS,SEA,US,"BIRMINGHAM,AL,US",Y
USBNA,BNAUS,SEA,US,"NASHVILLE,TN,US",Y
USBOS,BOSUS,SEA,US,"BOSTON,MA,US",Y
USBUF,BUFUS,SEA,US,"BUFFALO,NY,US",Y
USCBF,CBFUS,SEA,US,"COUNCIL BLUFFS,IA,US",Y
USCHI,CHIUS,SEA,US,"CHICAGO,IL,US",Y
USCHS,CHSUS,SEA,US,"CHARLESTON,SC,US",Y
USCLE,CLEUS,SEA,US,"CLEVELAND,OH,US",Y
USCLT,CLTUS,SEA,US,"CHARLOTTE,NC,US",Y
USCMH,CMHUS,SEA,US,"COLUMBUS,OH,US",Y
USCPF,CPFUS,SEA,US,"CHIPPEWA FALLS,WI,US",Y
USCVG,CVGUS,SEA,US,"CINCINNATI,OH,US",Y
USDAL,DALUS,SEA,US,"DALLAS,TX,US",Y
USDEN,DENUS,SEA,US,"DENVER,CO,US",Y
USDET,DETUS,SEA,US,"DETROIT,MI,US",Y
USEC1,EC1US,SEA,US,USEC,Y
USELP,ELPUS,SEA,US,"EL PASO,TX,US",Y
USESL,ESLUS,SEA,US,"EAST ST. LOUIS,IL,US",Y
USEWR,EWRUS,SEA,US,"NEWARK,NJ,US",Y
USEZA,EZAUS,SEA,US,ELIZABETH,Y
USFWT,FWTUS,SEA,US,"FORT WORTH,TX,US",Y
USGBO,GBOUS,SEA,US,"GREENSBORO,NC,US",Y
USGXX,GXXUS,SEA,US,"GREER,SC,US",Y
USHNL,HNLUS,SEA,US,HONOLULU,Y
USHOU,HOUUS,SEA,US,"HOUSTON,TX,US",Y
USHSV,HSVUS,SEA,US,"HUNTSVILLE,AL,US",Y
USILM,ILMUS,SEA,US,"WILMINGTON,NC,US",Y
USIND,INDUS,SEA,US,"INDIANAPOLIS,IN,US",Y
USJAX,JAXUS,SEA,US,"JACKSONVILLE,FL,US",Y
USJOT,JOTUS,SEA,US,"JOLIET,IL,US",Y
USKCK,KCKUS,SEA,US,"KANSAS CITY,KS,US",Y
USKRA,KRAUS,SEA,US,"CRANDALL, GA, US",Y
USLAX,LAXUS,SEA,US,"LOS ANGELES,CA,US",Y
USLGB,LGBUS,SEA,US,"LONG BEACH,CA,US",Y
USLRD,LRDUS,SEA,US,"LAREDO,TX,US",Y
USLUI,LUIUS,SEA,US,"LOUISVILLE,KY,US",Y
USMEM,MEMUS,SEA,US,"MEMPHIS,TN,US",Y
USMES,MESUS,SEA,US,"MINNEAPOLIS,MN,US",Y
USMIA,MIAUS,SEA,US,"MIAMI,FL,US",Y
USMKC,MKCUS,SEA,US,"KANSAS CITY,MO,US",Y
USMOB,MOBUS,SEA,US,"MOBILE,AL,US",Y
USMSY,MSYUS,SEA,US,"NEW ORLEANS,LA,US",Y
USNYC,NYCUS,SEA,US,"NEW YORK,NY,US",Y
USOAK,OAKUS,SEA,US,"OAKLAND,CA,US",Y
USOMA,OMAUS,SEA,US,"OMAHA,NE,US",Y
USORF,ORFUS,SEA,US,"NORFOLK,VA,US",Y
USORH,ORHUS,SEA,US,WORCESTER,Y
USPDX,PDXUS,SEA,US,"PORTLAND,OR,US",Y
USPHL,PHLUS,SEA,US,"PHILADELPHIA,PA,US",Y
USPHX,PHXUS,SEA,US,"PHOENIX,AZ,US",Y
USPIT,PITUS,SEA,US,"PITTSBURGH,PA,US",Y
USPVS,PVSUS,SEA,US,"PORT EVERGLADES,FL,US",Y
USRCX,RCXUS,SEA,US,"ROCHELLE,IL,US",Y
USRIC,RICUS,SEA,US,"RICHMOND, VA, US",Y
USSAT,SATUS,SEA,US,"SAN ANTONIO,TX,US",Y
USSAV,SAVUS,SEA,US,"SAVANNAH,GA,US",Y
USSEA,SEAUS,SEA,US,"SEATTLE,WA,US",Y
USSLC,SLCUS,SEA,US,"SALT LAKE CITY,UT,US",Y
USSTL,STLUS,SEA,US,"ST LOUIS,MO,US",Y
USSTP,STPUS,SEA,US,"ST PAUL,MN,US",Y
USSXT,SXTUS,SEA,US,"SANTA TERESA,NM,US",Y
USTIW,TIWUS,SEA,US,"TACOMA,WA,US",Y
USTPA,TPAUS,SEA,US,"TAMPA,FL,US",Y
USWC1,WC1US,SEA,US,USWC,Y
USXDT,XDTUS,SEA,US,"CHATSWORTH, GA, US",Y
UYMVD,MVDUY,SEA,UY,MONTEVIDEO,Y
VCKSV,KSVVC,SEA,VC,KINGSTOWN,Y
VEDDZ,DDZVE,SEA,VE,GURANAO,Y
VEEGU,EGUVE,SEA,VE,EL GUAMACHE,Y
VEGUT,GUTVE,SEA,VE,GUANTA,Y
VELAG,LAGVE,SEA,VE,LA GUAIRA,Y
VEMAR,MARVE,SEA,VE,MARACAIBO,Y
VEPBL,PBLVE,SEA,VE,PUERTO CABELLO,Y
VIHJC,HJCVI,SEA,VI,Charlotte Amalie,Y
VNCMT,CMTVN,SEA,VN,CAI MEP,Y
VNDAD,DADVN,SEA,VN,DA NANG,Y
VNHAN,HANVN,SEA,VN,HANOI,Y
VNHPH,HPHVN,SEA,VN,HAIPHONG,Y
VNSGN,SGNVN,SEA,VN,HO CHI MINH CITY,Y
VNUIH,UIHVN,SEA,VN,QUI NHON,Y
VNVUT,VUTVN,SEA,VN,VUNG TAU,Y
YEADE,ADEYE,SEA,YE,ADEN,Y
YEHOD,HODYE,SEA,YE,HODEIDAH,Y
ZACPT,CPTZA,SEA,ZA,CAPE TOWN,Y
ZADUR,DURZA,SEA,ZA,DURBAN,Y
