Name,ediSONPortCode,ModeOfTransport,CountryCode,LocationDescription,Enabled
ESLPA,LPAES,SEA,ES,LAS PALMAS,Y
ESMLN,MLNES,SEA,ES,MELILLA,Y
ESMPG,MPGES,SEA,ES,MARIN,Y
ESSVQ,SVQES,SEA,ES,SEVILLE,Y
ESTAR,TARES,SEA,ES,TARRAGONA,Y
ESTCI,TCIES,SEA,ES,TENERIFE,Y
ESVGO,VGOES,SEA,ES,VIGO,Y
ESVLC,VLCES,SEA,ES,VALENCIA,Y
FIHEL,HELFI,SEA,FI,HELSINKI,Y
FIKTK,KTKFI,SEA,FI,KOTKA,Y
FIOLU,OLUFI,SEA,FI,OULU,Y
FIRAU,RAUFI,SEA,FI,RAUMA,Y
FITOR,TORFI,SEA,FI,TORNIO (TORNEA),Y
FRBES,BESFR,SEA,FR,BREST,Y
FRBOD,BODFR,SEA,FR,BORDEAUX,Y
FRDKK,DKKFR,SEA,FR,DUNKERQUE,Y
FRFOS,FOSFR,SEA,FR,FOS SUR MER,Y
FRIRK,IRKFR,SEA,FR,"DUNKIRK,FR",Y
FRLEH,LEHFR,SEA,FR,LE HAVRE,Y
FRLRH,LRHFR,SEA,FR,LA ROCHELLE,Y
FRMTX,MTXFR,SEA,FR,MONTOIR DE BRETAGNE,Y
FRURO,UROFR,SEA,FR,ROUEN,Y
GALBV,LBVGA,SEA,GA,LIBREVILLE,Y
GBBEL,BELGB,SEA,GB,"BELFAST, UK",Y
GBBHM,BHMGB,SEA,GB,"BIRMINGHAM,BIR,GB",Y
GBBOS,BOSGB,SEA,GB,"BOSTON,LIN,GB",Y
GBFXT,FXTGB,SEA,GB,FELIXSTOWE,Y
GBGRG,GRGGB,SEA,GB,GRANGEMOUTH,Y
GBIMM,IMMGB,SEA,GB,IMMINGHAM,Y
GBKNS,KNSGB,SEA,GB,"KINGSTON,STS,GB",Y
GBLGB,LGBGB,SEA,GB,LONDON GATEWAY,Y
GBLIV,LIVGB,SEA,GB,"LIVERPOOL,LIV,GB",Y
GBMNC,MNCGB,SEA,GB,MANCHESTER,Y
GBNLN,NLNGB,SEA,GB,"NELSON,LAN,GB",Y
GBPRU,PRUGB,SEA,GB,PORTBURY,Y
GBSOU,SOUGB,SEA,GB,SOUTHAMPTON,Y
GBSSH,SSHGB,SEA,GB,SOUTH SHIELDS,Y
GBTEE,TEEGB,SEA,GB,TEESPORT,Y
GDSTG,STGGD,SEA,GD,SAINT GEORGE'S,Y
GEBUS,BUSGE,SEA,GE,BATUMI,Y
GEPTI,PTIGE,SEA,GE,POTI,Y
GHTEM,TEMGH,SEA,GH,TEMA,Y
GHTKD,TKDGH,SEA,GH,TAKORADI,Y
GMBJL,BJLGM,SEA,GM,BANJUL,Y
GNCKY,CKYGN,SEA,GN,CONAKRY,Y
GQBSG,BSGGQ,SEA,GQ,BATA,Y
GQSSG,SSGGQ,SEA,GQ,MALABO,Y
GRPIR,PIRGR,SEA,GR,PIRAEUS,Y
GRSKG,SKGGR,SEA,GR,THESSALONIKI,Y
GTIZ4,IZ4GT,SEA,GT,SANTO TOMAS DE CASTILLA,Y
GTPRQ,PRQGT,SEA,GT,PUERTO QUETZAL,Y
GWOXB,OXBGW,SEA,GW,BISSAU,Y
GYGTG,GTGGY,SEA,GY,"GEORGETOWN, GUYANA",Y
HKHKG,HKGHK,SEA,HK,HONG KONG,Y
HNPCR,PCRHN,SEA,HN,PUERTO CORTES,Y
HNSAP,SAPHN,SEA,HN,SAN PEDRO SULA,Y
HNSLO,SLOHN,SEA,HN,SAN LORENZO,Y
HNTGU,TGUHN,SEA,HN,TEGUCIGALPA,Y
HRPLE,PLEHR,SEA,HR,PLOCE,Y
HRRJK,RJKHR,SEA,HR,RIJEKA,Y
HRSPU,SPUHR,SEA,HR,SPLIT,Y
HTPAP,PAPHT,SEA,HT,PORT AU PRINCE,Y
HTTPL,TPLHT,SEA,HT,LAFITO,Y
HUBUD,BUDHU,SEA,HU,BUDAPEST,Y
IDBIT,BITID,SEA,ID,BITUNG,Y
IDBLW,BLWID,SEA,ID,BELAWAN,Y
